model_name,dataset,train_size,repetition,accuracy,precision_macro,recall_macro,f1_macro
Naive Bayes,Wine,0.7,10,0.9814814814814815,0.9824561403508771,0.9841269841269842,0.9828609096901779
Naive Bayes,Wine,0.8,1,0.9722222222222222,0.9777777777777779,0.9722222222222222,0.9740129935032483
Naive Bayes,Wine,0.8,2,1.0,1.0,1.0,1.0
Naive Bayes,Wine,0.8,3,0.9722222222222222,0.9777777777777779,0.9722222222222222,0.9740129935032483
Naive Bayes,Wine,0.8,4,0.9444444444444444,0.9583333333333334,0.9444444444444445,0.9474747474747475
Naive Bayes,Wine,0.8,5,1.0,1.0,1.0,1.0
Naive Bayes,Wine,0.8,6,1.0,1.0,1.0,1.0
Naive Bayes,Wine,0.8,7,0.9444444444444444,0.9458874458874459,0.9484126984126985,0.945824706694272
Naive Bayes,Wine,0.8,8,0.9444444444444444,0.9458874458874459,0.9484126984126985,0.945824706694272
Naive Bayes,Wine,0.8,9,0.9722222222222222,0.9777777777777779,0.9722222222222222,0.9740129935032483
Naive Bayes,Wine,0.8,10,1.0,1.0,1.0,1.0
